URL,Bezirk,Minuspunkte,Note,RestaurantName,pubDate,Adresse
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/71,"Berlin - Charlottenburg-Wilmersdorf
",,sehr gut,Cafe Keese,"Thu, 15 Nov 2012 00:00:00 +0100","Bismarckstr. 108, 10625 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/69,"Berlin - Charlottenburg-Wilmersdorf
","

  
 4
",gut,New West Club,"Tue, 23 Oct 2012 00:00:00 +0200","Kantstr. 134, 10625 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/67,"Berlin - Charlottenburg-Wilmersdorf
","

  
 9
",gut,Ziko Grill,"Tue, 03 Apr 2012 00:00:00 +0200","Kaiser-Friedrich-Str. 61a, 10627 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/65,"Berlin - Charlottenburg-Wilmersdorf
",,sehr gut,Wilde Oscar,"Wed, 26 Sep 2012 00:00:00 +0200","Niebuhrstr. 59-60, 10629 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/63,"Berlin - Charlottenburg-Wilmersdorf
","

  
 2
",gut,Restaurant Grunewaldturm,"Tue, 17 Apr 2012 00:00:00 +0200","Havelchaussee 61, 14193 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/61,"Berlin - Charlottenburg-Wilmersdorf
","

  
 12
",gut,Brasserie im Park,"Tue, 10 Jan 2012 00:00:00 +0100","Bismarckallee 23, 14193 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/59,"Berlin - Charlottenburg-Wilmersdorf
","

  
 4
",gut,Der Balken,"Wed, 14 Dec 2011 00:00:00 +0100","Gotha-Allee 29, 14052 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/57,"Berlin - Charlottenburg-Wilmersdorf
","

  
 13
",gut,Spice India,"Wed, 14 Dec 2011 00:00:00 +0100","Uhlandstr. 161, 10719 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/55,"Berlin - Charlottenburg-Wilmersdorf
","

  
 17
",gut,Credo-Express,"Mon, 21 Nov 2011 00:00:00 +0100","Kurfürstendamm 102, 10711 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/53,"Berlin - Charlottenburg-Wilmersdorf
","

  
 6
",gut,Restaurant Mondial,"Thu, 24 Nov 2011 00:00:00 +0100","Kurfürstendamm 47, 10719 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/51,"Berlin - Charlottenburg-Wilmersdorf
","

  
 15
",gut,Artemis,"Wed, 21 Dec 2011 00:00:00 +0100","Halenseestr. 32-36, 10711 Berlin"
